,Mx,My,Mz,Fx,Fy,Fz,EQV1
80,-1994.358797,-5670.479785,619.30906,228.4200724,-300.9484973,-1007.17179,109.2
81,-1372.09774,-7995.293024,-7964.850361,54.97455801,-456.389191,,86.2
82,1521.548831,-11389.30894,1635.811202,805.6241576,93.15027063,,218.8
83,2490.366998,-9355.874357,-7406.636934,-251.1638196,188.7713378,-1500.385964,141.6
84,3266.615216,-7625.763414,-2054.932735,838.45048,-249.0017773,-962.791346,167.1
85,-871.0572999,-9900.164321,4420.664011,-119.7703361,-106.3832446,,212.6
86,3519.951069,-7077.812129,4915.058851,689.9226927,509.3910089,-1215.461601,206.8
87,1894.452933,-7009.76957,1300.247484,-291.6468398,377.3231718,-1584.286505,178.3
88,964.3494419,-10613.05862,-1361.771312,279.8873482,247.4957388,,186.4
89,30.72751206,-9233.627176,-5428.960191,-144.6107024,-145.8190881,-1188.489283,127.0
90,2773.910635,-10127.09587,2299.347721,647.7192197,-174.4714167,,245.4
91,-503.5317179,-10422.88385,-2775.68083,500.4327499,295.9799563,,121.7
92,3580.678099,-11065.88028,2689.079229,255.403022,158.9750776,-817.0279745,231.3
93,2364.580473,-8354.672275,6946.183898,-328.8710175,-29.07168881,-895.1230577,233.2
94,1573.923357,-6129.301222,-5887.737511,433.3956992,-488.3317268,-1070.506615,112.4
95,-2246.810402,-8776.966911,-3662.338998,194.9689227,331.0962911,,85.3
96,2866.275255,-8181.607077,-262.9074056,-47.65197764,-377.5747591,-1279.466895,204.2
97,834.1108493,-10978.42325,-4118.713334,6.213050709,-403.0867449,-1243.970432,180.3
98,-362.8570585,-7312.536386,-8414.015354,456.4613454,366.5398593,,46.5
99,521.5879956,-9832.287959,6196.646463,-207.3823895,-197.045358,-1106.277179,238.0
100,103.3655984,8401.33357,1069.577363,-174.8399255,83.96997444,-987.7039428,37.5
101,1600.376132,8591.332298,-8670.599916,742.0151576,531.3762432,-697.5457917,137.0
102,-2039.798142,13690.09246,5640.015583,335.4619723,248.7433781,-1440.207295,63.5
103,-1103.036503,13343.86786,3561.991856,-68.05691818,415.5893653,,83.5
104,-1779.011616,12510.39333,5543.866616,11.90622469,-543.1214907,,26.9
105,-1029.76476,7054.786447,-6379.161805,-327.9207185,-122.4656518,,79.9
106,21.40093969,9873.473235,7200.078534,871.8696616,101.2303665,,30.8
107,3065.830487,6827.775792,6355.845269,545.7989535,268.1057891,,15.3
108,-244.8585694,9618.447584,-812.1862576,-409.7017527,-277.8023413,-863.4553274,64.7
109,721.9850099,9438.298263,-3355.880783,129.2893362,-529.427613,-960.2673913,72.7
110,-1527.03662,10566.55207,-7352.643546,197.6736789,-484.0787101,-1435.852979,110.0
111,-423.1492718,7457.122427,8158.876824,-235.1355748,-195.2353506,-1372.133281,51.9
112,-504.8637923,7926.794119,-8057.618333,-51.46810025,278.1521254,-1412.347891,106.7
113,-1354.262574,13902.43829,-4583.03049,925.1450739,214.8946697,-807.4005802,173.4
114,3175.699811,12751.06524,-4824.0378,892.2114049,180.4853569,-1102.779467,129.9
115,346.9216657,8965.315897,-9224.275951,778.3041568,-434.5609912,,90.8
116,-1948.893458,13724.2435,2440.619708,-446.7412531,-234.6471074,,88.8
117,1463.699369,6462.365659,-2457.00978,570.5225976,-312.1615485,,6.1
118,2078.983525,6544.182173,6117.213212,-342.1742937,302.4567715,,58.8
119,1954.760324,11191.43959,-5625.893411,63.53643451,-405.0186624,,86.7
120,1287.903544,8665.318525,-508.5372476,394.3094819,33.0623194,,59.1
121,218.7188153,14086.68753,6928.635803,-291.9012881,488.5043814,-976.6011015,77.9
122,1687.35399,13436.07313,8138.148144,609.6641627,-293.196178,-1531.656537,21.6
123,2879.744612,11603.47722,-1767.475365,439.9798995,-423.874878,-735.0458465,102.7
124,1135.700961,9146.276441,-3676.632331,-376.7157162,18.95936826,-724.0158551,87.7
125,2967.905467,11047.50637,-6960.150283,-224.2772942,-72.34148962,-1514.497563,87.5
126,-600.8660163,8081.550862,-3297.624227,377.5585204,-185.2329696,-1208.519617,57.4
127,3832.745263,9804.688015,3155.120432,494.7184646,117.3342142,,49.6
128,2738.707143,12618.61095,-6086.108464,148.5551734,466.7382753,,135.5
129,-878.6773472,14293.01159,4287.904238,651.1369789,52.46140792,-1032.339149,95.7
130,3549.118477,12150.81312,1536.111754,-156.6188725,202.4984735,-1015.842348,78.4
131,3472.282194,11424.24633,805.3447449,77.11459556,4.199162904,,58.5
132,-1614.950135,7602.473783,-1250.397844,818.9463153,-368.5154558,,34.9
133,-1219.233416,10414.6749,4094.615005,-93.38734119,499.8123394,-945.242387,59.2
134,-684.524952,8241.548113,-4165.309013,687.049823,-355.6397939,,47.6
135,1847.56171,9287.486725,-6712.596992,182.006125,-97.27634273,,103.6
136,3701.238634,12094.84118,-5402.482917,584.7067672,-165.1069402,,106.0
137,3296.791141,12331.24444,7538.010004,410.7452212,-131.6571182,-1286.324329,21.7
138,1231.506227,11775.40334,69.55454499,-143.3253822,-47.39024106,-1160.18639,74.5
139,575.7645586,10764.21143,334.8122607,734.8311963,-218.1662999,-1255.351268,56.3
140,2509.243039,12967.15852,2021.959158,847.8801415,357.8494425,-1565.364056,64.2
141,-170.4327132,6906.424205,-7848.948387,221.6416097,-505.1285327,-1510.682781,57.7
142,2170.575279,8904.080067,4564.276071,315.5663775,360.1428136,,10.7
143,-2201.108952,7315.196704,-258.6965238,275.0659708,-35.08836659,-1339.864146,41.7
144,-1850.279494,10953.02466,-8325.264984,29.38336242,384.6315786,,169.3
145,430.1010542,10147.70893,-1947.362637,-263.4104216,148.4899009,-1048.420851,76.0
146,2520.766899,13054.9222,-2707.030951,673.9316225,-454.2802139,,119.0
147,882.2364735,7769.953055,2408.077164,470.4551877,438.631272,,21.7
148,994.9192184,10324.1951,5167.443329,259.3716956,335.4032068,,43.2
149,2291.839186,11888.89092,3050.786083,-17.38216257,-337.0383231,-908.7532541,62.6
150,2068.647826,9188.809117,-13522.51892,-233.9621998,149.3660781,-1547.299936,134.2
151,-1259.24919,5647.979632,-12157.63516,841.0796826,262.4766403,-1518.502018,126.2
152,2314.351904,3346.94398,-6952.239782,879.2748613,-111.3147218,,27.2
153,-2066.757982,512.2673179,-8685.617147,-445.4305931,196.4864973,-1077.252114,63.7
154,3771.877344,-5388.322926,-6437.31752,-188.1769189,445.7975676,,106.7
155,-913.4432963,4253.55832,-9724.434707,204.4795608,39.59689897,,80.1
156,3713.028391,-3021.453494,-11614.80111,453.6489634,-187.4097082,,37.4
157,907.1483042,-2743.748015,-11977.73011,820.882508,-48.20744068,,21.2
158,1662.567201,-3559.463324,-7715.984226,155.6847793,472.9137693,-1456.64359,50.1
159,157.1486785,5937.32606,-9297.296193,614.6771559,-421.8810381,,88.3
160,-668.3889599,-7058.767528,-7418.73882,-277.4594436,307.2906425,-1482.568477,71.6
161,-487.9943717,7175.974944,-12376.423,-362.3798074,238.5409449,,158.8
162,2478.69207,2321.654053,-8516.676753,704.5382662,-316.9996259,-1216.009002,9.8
163,3270.260081,634.8813492,-13956.84071,272.0397373,-382.6060337,-1597.933414,14.8
164,396.81933,6561.305346,-13390.36733,411.9957952,341.9409162,-1172.505489,145.6
165,-58.69709569,1889.663723,-7514.745991,342.3533525,174.4333314,,45.7
166,-1820.950204,5001.15358,-8376.564283,-82.18957595,-259.4248438,,84.8
167,-890.7637137,1687.026712,-11730.31525,796.342832,-537.5969422,,77.2
168,1194.376727,-6457.042017,-12689.51198,-165.9331647,-161.6857924,,48.9
169,1308.115888,-495.6217668,-11269.83199,371.169557,97.44094663,,35.3
170,3027.533529,2684.393761,-12908.39127,512.3020603,394.4934546,,58.4
171,1884.83258,1118.124448,-9935.156406,-345.3361899,-355.5153341,-1326.282508,10.3
172,2633.541287,8245.40303,-11520.06949,633.9914091,496.9365359,,144.3
173,1718.644567,8657.035351,-13794.02241,-53.98645283,78.28434748,,142.2
174,3520.640274,6508.506685,-7927.356993,737.5403311,-298.9028502,-1501.035491,33.6
175,-1182.492887,-4470.114592,-8856.035328,57.65521759,62.65908044,,14.7
176,250.4876004,3817.462516,-10568.38762,239.2590128,226.4157542,,90.9
177,-427.7940802,-2434.183213,-7143.942304,442.1478006,-534.097087,-1101.003095,37.9
178,2720.158002,-6209.116121,-9526.366994,-114.3098046,-460.8856917,-1155.469046,98.6
179,2830.081822,-4949.834631,-10966.79432,-252.7705127,-144.7099692,,46.1
180,1071.57877,7582.1242,-10850.45751,284.4627516,-74.29405576,,101.4
181,-1415.567323,-1688.575101,-9970.385779,10.71698026,350.6178466,,62.4
182,1519.351098,8964.033854,-6561.081939,555.7840574,-210.4241271,-1367.347552,70.4
183,-2282.807994,-42.5543425,-10281.02037,-395.0041454,8.310895547,,72.3
184,717.7514116,-3968.146666,-10464.95896,683.2584188,509.825543,,18.7
185,-1921.701501,-803.0421631,-13163.26878,-1.522646013,-272.3751171,,48.9
186,-1582.255921,-1430.83639,-6666.835643,925.1635281,-495.2109154,,20.2
187,-209.7931538,-7614.795634,-9095.167279,526.4033435,421.6613517,-721.8586434,32.7
188,584.6782382,4676.92707,-12825.30635,99.77818467,-19.63240295,,105.0
189,3144.958944,-5761.319407,-8117.881111,126.605786,-445.1923846,,99.3
190,3830.81174,739.1537802,10554.45237,-426.9227735,411.094288,,173.5
191,1000.638919,5309.314515,6787.980594,-35.13794893,-74.21531612,,40.3
192,-2036.661402,-1592.802273,8570.431183,638.9372369,231.1312451,-1439.824183,130.2
193,-1239.447532,-4674.443088,10643.09801,313.0468356,254.6022088,-1148.565737,179.6
194,3409.521295,7078.294925,5928.386952,827.6893018,-110.2153566,,14.3
195,3617.125294,5674.005857,8781.512525,740.8838852,426.0892662,,66.2
196,-247.5017511,3557.415655,6164.892616,-0.053041525,-414.2056702,-974.1140494,74.6
197,3207.18579,-2680.984915,6933.688027,170.4034663,64.52089707,-1314.835524,191.2
198,1998.460453,-7148.980783,12128.3592,135.8609158,-532.5171685,-923.4687571,273.8
199,2906.193421,2799.755079,11086.86244,926.8457581,98.32692867,,117.9
200,1524.099508,4529.007654,12426.84855,285.2805893,316.891768,,120.8
201,878.9334738,8995.576941,7664.61145,-122.2740279,-15.49168842,,13.4
202,-2181.818506,-3.457897814,10069.75233,-388.2667155,502.6836099,,110.7
203,202.5777508,-4108.35442,12712.99652,610.3763361,465.8299735,,215.7
204,-1693.178436,1934.649017,9471.697203,413.1908059,-473.5893293,-1402.645784,129.5
205,-535.1807532,-5751.359122,11835.91896,352.4018999,137.3498702,-1296.994166,220.9
206,2828.943833,-1161.885965,11655.31514,-300.8463098,18.00780011,-795.6587989,185.2
207,2527.974941,6164.031036,5786.265116,60.89165187,-276.9229037,,30.0
208,2092.22383,-716.7675617,9181.863484,-183.4116278,55.61015007,-889.6551769,158.6
209,-131.0063024,-5952.575491,11412.06221,694.7172154,291.4749011,-1098.626297,209.9
210,1331.858769,2313.96321,11209.75638,52.06042772,-359.7687781,,172.6
211,-1020.060057,-5147.367666,8154.619667,489.791451,-227.729716,,199.4
212,131.0601063,7976.653741,9236.335793,229.6392007,-493.2264221,,51.7
213,1705.200307,3894.03255,8363.0844,786.5417791,195.4681365,-1561.539603,112.2
214,376.4269039,797.913255,7337.070346,342.6664814,-117.0883787,-903.846303,113.3
215,2259.8347,-3530.006544,7467.728785,885.7236263,373.7425389,,178.6
216,-1500.083142,-2077.267356,10367.373,-243.2651419,-433.2617709,-961.8678933,163.4
217,681.1597907,-6999.182379,7142.804921,-141.5015342,-161.280997,-1080.643427,212.5
218,-667.9441225,8795.586653,7936.272122,-327.8719307,-239.8427661,-1480.22728,38.9
219,-1290.661964,7670.32446,6594.681872,545.4983117,-342.0035785,,17.8
220,2306.075491,-3622.090846,765.1127545,-345.6067709,143.4211272,-1114.470225,128.3
221,-1649.979041,241.4875434,3198.009162,-476.9001328,86.32346385,-1298.610325,66.9
222,3039.881731,6541.264501,-8709.962244,-316.4483509,48.55260738,-944.5174514,73.4
223,3455.397792,5553.353565,2521.954485,-572.4463637,344.0327848,-1411.45826,52.7
224,-189.6073906,-2957.28482,-6111.093711,-420.6797572,-171.0440285,,38.0
225,-769.4275078,-5117.897415,-5772.17151,-539.6311804,184.7916944,-1132.220934,51.6
226,950.4146392,8584.336225,8390.271288,-658.8112378,-446.7321559,,49.5
227,2560.670334,-336.7675599,-7338.33261,-455.4864433,-319.310316,,42.2
228,1470.883927,-4297.217436,5647.30038,-384.4517558,-528.2028733,-1451.636,207.4
229,1023.323176,4520.101035,6938.374733,-595.2183594,521.8439715,,71.9
230,1706.469807,-7155.494381,6392.264355,-615.277406,450.8490343,-1055.230512,196.6
231,748.9946547,4340.342931,1352.258356,-630.7992391,-35.89713974,,17.5
232,519.4365975,1862.887403,5321.586801,-643.156801,378.7254746,-992.9288286,71.4
233,3766.266559,822.623132,-131.0852417,-400.1016281,-503.1034521,-1464.754882,120.8
234,-511.7620694,1350.754357,-4700.014794,-310.7552365,282.7457552,,8.0
235,163.9323443,-1251.861599,-2240.547096,-536.190649,251.3596084,-1013.992576,41.1
236,-1934.265794,6990.857059,-9383.023788,-333.540357,-369.3002846,-877.3881743,119.8
237,-108.4801501,-6088.394931,4676.935686,-511.0845692,207.5462271,,170.8
238,-1872.074989,-2672.512463,-6155.047309,-357.7806831,124.839269,-1513.568301,24.7
239,2228.753738,3616.332943,-4365.880335,-367.5492302,-486.8067362,-1576.616953,41.6
240,215.1247465,7603.977046,-1845.379809,-397.3976571,399.4721647,-818.9906658,66.8
241,-1361.19152,-1885.143664,471.7104548,-445.9602712,-3.598978956,,52.2
242,2720.257802,-5901.694504,4254.087804,-487.3528858,-148.5880506,-715.2787441,183.0
243,-2258.62136,-6648.849765,-778.2676826,-514.8410011,464.6835099,,79.9
244,-1008.568948,2221.893853,-1399.493838,-609.1497372,-415.7006232,-1190.155142,27.1
245,1843.21501,5524.589605,-3970.016715,-426.0640355,-91.48460013,,12.6
246,3252.934939,9304.090778,-3415.972382,-465.5173265,-247.6337624,-924.7342881,73.0
247,3635.395563,-2405.060667,-6671.440127,-576.9407844,-175.4930009,-1553.480328,95.8
248,1222.751927,7963.820562,2770.311225,-418.3011366,-284.7707063,-895.1773431,13.7
249,-1083.646728,2924.103828,7803.379987,-663.2855885,-83.31419622,-747.052195,70.7
250,2963.575149,-364.0260593,-2098.425292,1058.76413,-494.7557737,-1142.510385,92.9
251,-759.7949254,-1507.006585,-3018.678787,1213.903892,351.2027353,-1319.297484,31.9
252,3745.069,6330.123237,1276.704062,721.5426139,-77.96891808,,19.1
253,-1495.968566,9246.878964,-4839.937146,1373.617682,-262.4997584,,78.6
254,1416.601671,1343.57982,4791.090337,906.4671142,-230.4776854,-1536.35737,126.1
255,-1870.771868,3653.853832,-2513.139611,1085.840977,434.4388923,-883.7778696,57.0
256,1054.90883,5968.218671,-621.9005259,800.1306176,212.9980772,,17.6
257,770.0088627,-5688.54976,-4597.248779,875.4612303,-100.8791574,,107.1
258,-1380.328808,-4062.955379,7301.855988,1009.268878,43.06688729,,154.7
259,3323.986107,-7312.094618,3989.500045,678.031853,-140.2858841,-1157.079831,220.5
260,-1041.7407,8514.905288,2237.365502,1174.884971,-363.5813878,-865.1058803,37.7
261,3151.730424,-928.1169086,3575.317192,846.4687718,124.9735391,,132.7
262,-576.6571402,341.0575681,-7416.854915,923.9486621,394.4489888,,27.0
263,1808.711215,-7016.185628,-8495.166497,1272.767023,82.3758035,,70.4
264,865.5413543,-6507.03488,3030.130173,669.6494221,-428.7450727,,195.2
265,1230.822611,-3315.605017,108.5358698,647.7224815,248.7486678,,107.0
266,-129.4327054,1972.1226,6161.017647,1249.865408,-167.5577307,-1015.81132,86.9
267,218.4009107,4562.029122,-9010.220473,829.4142201,488.8913446,-697.0309728,108.4
268,3563.632426,881.3627017,628.2761702,1327.341149,182.985334,-939.1959744,72.4
269,1842.215919,2504.099466,1503.617326,1125.181687,-319.0851028,-1495.658664,89.5
270,-1155.561582,3891.246806,-3573.4489,1154.405581,155.4925791,-1577.77124,22.6
271,13.03910361,-2240.741293,-5382.665138,746.7164363,-538.9565995,-833.5917113,44.7
272,-2248.75988,-2931.873307,5556.343049,1234.534839,-488.8614995,-740.9564865,113.8
273,412.3570796,8118.821535,-1395.93685,1035.348359,4.257922846,,45.9
274,2068.514219,5285.864109,-6051.957082,1104.801616,301.4195282,,53.7
275,-1886.617712,-4877.160661,7647.607677,968.5403749,-294.3129738,-925.672976,158.4
276,2639.635412,7209.699931,8446.570156,1323.889322,-405.0168077,,49.8
277,2405.328638,2863.306393,5212.954691,772.0751126,-24.83419463,,70.3
278,2791.793282,-4336.182813,-6929.928275,1376.995601,521.9833343,,74.1
279,-394.8920716,7643.426726,-7955.762849,943.1882351,374.7118998,-1334.230087,109.2
280,1921.356007,750.3515187,873.8334286,440.0255732,-720.7257618,,115.2
281,-1104.953615,-625.3831442,-8892.462779,-178.0971765,-745.1726527,-807.4468571,13.2
282,3857.289344,8847.424058,-354.1441417,227.0006235,-479.9161047,,5.9
283,2153.90882,-5543.804023,-8582.896975,715.1396471,-498.0378305,-1049.940145,88.3
284,495.9953202,1857.434302,-6552.317895,420.8937629,-632.9935782,,6.1
285,-98.55243231,-3212.397212,-3357.326702,51.97933805,-449.3145709,,72.2
286,1038.178035,-6737.607162,5645.233889,270.5856286,-420.7280921,,210.1
287,2575.964601,-1660.061791,1534.994846,876.3373005,-502.0776859,,131.2
288,172.4121246,6035.566882,3106.581425,144.0878493,-560.3486389,-1474.415768,51.1
289,-277.9066973,3554.373586,-4891.382265,322.9745467,-795.2116327,-1534.65972,18.1
290,822.3136335,5207.012451,7455.509983,578.2400488,-758.2904778,,101.9
291,1797.796236,8185.613926,5207.13203,914.4710373,-648.3411218,,13.5
292,631.6714808,4495.749698,-7804.753491,475.1063331,-535.2075049,,27.8
293,-853.3972845,-2113.244575,-7140.254818,-21.32117861,-404.4093122,-1169.744205,27.5
294,2285.713924,1410.393477,286.9651826,-369.804323,-707.9838552,,75.1
295,-1756.118469,-1225.782492,-3846.570584,-48.98010695,-603.8987654,-1254.80021,44.3
296,-1408.704169,-2527.967913,6663.453516,-118.0283692,-594.2422086,-864.9004913,139.5
297,2979.599713,2317.627285,-2332.252585,170.7510428,-625.4144944,,66.2
298,1533.720985,4060.163595,8314.313916,779.8896338,-682.8271249,,84.5
299,3147.032017,-3759.703132,-4596.724031,523.7964261,-801.3292482,-1331.874633,134.6
300,-586.9004821,2912.777159,2107.152159,-274.2712391,-830.8062676,,68.5
301,3511.463057,7586.759192,-1158.301043,77.11880935,-564.2609801,-1191.384854,9.2
302,-2247.236609,-7446.360986,4115.56727,339.4517309,-667.3774206,,183.8
303,-1986.053745,-4578.497625,7142.564522,-153.9061569,-517.54765,,162.1
304,3413.928813,-4953.613363,-6383.320352,684.4811816,-703.5997199,,124.1
305,-1149.085907,254.2511869,2594.816645,-234.4715677,-585.2554653,-1121.635193,86.4
306,-681.2387873,6210.818884,-2075.266878,-230.9403373,-459.6719171,,8.5
307,2640.588258,9237.368763,4791.422206,-444.6907764,-429.558412,-716.6814539,23.3
308,1205.111156,-6155.82617,-5494.981136,838.7597352,-817.4906671,,113.0
309,336.3612258,6872.952796,-594.4246775,644.9906545,-391.4084295,-1546.373336,9.5
310,-1758.936656,7398.352845,-546.8463349,-113.1062177,781.1670182,-736.0769691,93.6
311,1005.872294,-5426.104903,-4756.858856,695.7452531,410.1383417,-954.1164578,68.3
312,-1241.88586,-6778.917466,7296.359334,723.1148265,509.3240715,,149.8
313,832.0768415,-5464.082441,-4980.867524,-71.06310175,715.4339564,-1485.114718,76.7
314,3592.848669,7046.020549,-5448.485792,262.5606256,683.354022,,41.7
315,3054.56428,8923.549258,8321.345091,-202.0036171,382.8572301,-925.4365637,14.4
316,-228.6966973,-4637.759383,3565.321763,148.1000082,681.4935101,-1162.819729,114.0
317,2899.554526,2043.948272,-4245.642681,-138.5545565,624.043668,-1547.058071,27.9
318,2057.845834,1424.842605,565.0855448,-436.7478999,404.6607915,-942.3305479,48.7
319,-1274.506166,-5982.435881,6087.18945,818.04342,416.6537688,,155.6
320,2417.76609,-5211.876462,-8971.75491,74.76002215,451.0666699,,53.9
321,264.7506087,-3816.010573,-7653.240632,174.5787021,359.7943087,-889.295906,19.2
322,-842.6403285,-913.4598004,2214.583023,869.0089016,470.3062316,,65.9
323,3293.464693,-1920.589027,-1098.794594,310.9385469,600.5339928,,68.2
324,-1027.722205,-2682.414275,-8283.03682,497.5005176,653.0972663,,16.8
325,-453.3262641,8227.961018,4527.254405,-322.8297931,555.6311433,,22.8
326,3734.772358,2293.841205,2965.863875,-392.0326238,568.7356304,-1055.925538,74.8
327,-2061.563044,4974.304868,-6655.925799,662.3566045,396.1288241,-988.3916722,103.9
328,1021.192082,596.4217607,-3824.526486,418.1783403,434.7151213,,28.0
329,735.4228743,3364.518844,7480.273221,445.2556882,771.8512802,-1008.043511,61.4
